Date Accepted,Player,Team,Category,Time,Points
2021-11-17,markinator99,horrordoesspeedruns,16,00:16:49,700
2021-11-17,alaris,alaris,16,00:16:39,280
2021-11-18,thegoodjakeward,chipgroove,16,00:18:08,210
2021-11-18,yale,rubiksmeth,120,01:46:19,128
2021-11-19,badroenis,badroenis,16,00:17:16,840
2021-11-19,naraknight,808sandbailey,70,00:55:25,21
2021-11-20,nickless,badroenis,120,01:46:23,448
2021-11-20,oxelput,pex,70,00:56:11,475
2021-11-20,tracers_husband,bluehavengaming,120,01:45:33,48
2021-11-20,bluehavengaming,bluehavengaming,70,01:02:27,92
2021-11-20,falconxfalcon,alaris,120,01:47:05,192
2021-11-20,lucinovic,badroenis,120,01:49:19,5
2021-11-21,dekudude,benji64,70,00:48:28,88
2021-11-21,tayyip,alaris,70,00:52:52,1294
2021-11-22,tabascoth,tabascoth,70,00:48:29,839
2021-11-22,jumbojolt,pex,16,00:16:33,665
2021-11-22,lxqzach,rubiksmeth,120,01:53:48,510
2021-11-22,suigi,sennai,120,02:23:48,372
2021-11-23,leysauce,bluehavengaming,70,00:49:35,648
2021-11-23,falconxfalcon,alaris,120,01:46:08,456
2021-11-24,suigi,sennai,16,00:14:54,385
2021-11-24,naraknight,808sandbailey,16,00:18:23,252
2021-11-24,808sandbailey,808sandbailey,120,02:24:11,208
2021-11-24,reallybadforyou,felix_helix_tm,120,02:20:10,590
2021-11-24,oxelput,pex,70,00:55:06,455
2021-11-24,itoxicnuk,fcbdaboss,70,01:02:57,200
2021-11-25,egasyelir,alaris,16,00:16:16,1834
2021-11-25,zans,fcbdaboss,70,01:02:23,70
2021-11-25,zans,fcbdaboss,70,01:02:21,4
2021-11-25,noteka,drogie,70,00:54:22,371
2021-11-25,itoxicnuk,fcbdaboss,70,01:02:23,68
2021-11-26,itoxicnuk,fcbdaboss,70,01:00:25,426
2021-11-26,tayyip,alaris,120,01:59:43,603
2021-11-26,kally,tabascoth,16,00:15:40,1183
2021-11-26,oatslice,pex,70,00:52:39,682
2021-11-26,doubledeuce,ayeessbee,70,00:58:34,96
2021-11-27,widdit,widdit,16,00:16:35,560
